REIZ CONTINENTAL HOTEL ABUJA    
SUPPLIER 6133 MRS ADEBAYO PURCHASE
FROM 01-03-2022 TO 09-11-2022
Date       Ref.                 Description                           Debit       Credit      Balance
******************************************************************************************************
OPENING BALANCE                                                                                  0.00
23-03-2022 RR229459             Take Away Pack (small)                          10200.00
23-03-2022 RR229459             CHAPMANSTRAW                                     2400.00
23-03-2022 RR229460             Portion Butter 8gms                             24000.00
23-03-2022 RR229461             CHIVITA  LARGE                                  10200.00
23-03-2022 RR229461             Chivita Small                                   18200.00
23-03-2022 RR229462             Flat Plate                                      32500.00
23-03-2022 RR229463             Assorted sweet                                   8000.00
23-03-2022 RR229464             Pineapple Fruit                                 13500.00
23-03-2022 RR229464             Water Mellon                                    10800.00
23-03-2022 RR229464             Plantain                                         6000.00
23-03-2022 RR229464             Orange Fruit                                     9000.00
23-03-2022 RR229464             White Beans                                     23000.00
23-03-2022 RR229464             Okro                                             3000.00
23-03-2022 RR229464             Eguisi                                           2600.00
23-03-2022 RR229464             OGBONO                                           3000.00
23-03-2022 RR229464             Fresh Tomatos                                    9000.00
23-03-2022 RR229464             Pawpaw                                           3000.00
23-03-2022 RR229464             Yam Tubas                                       25000.00
23-03-2022 RR229464             Peanut                                           9000.00
23-03-2022 RR229465             Cat Fish                                        26000.00
23-03-2022 RR229465             BITTER KOLA                                      6000.00
23-03-2022 RR229465             Kola Nut                                         3000.00
24-03-2022 RR229485             I PHONE CHARGER                                 21600.00
24-03-2022 RR229485             I PHONE CHARGER                                 20000.00
24-03-2022 RR229486             BRUSH /PARKER                                   13500.00
24-03-2022 RR229487             Apple                                           22000.00
24-03-2022 RR229487             Pineapple Fruit                                 18000.00
24-03-2022 RR229487             Water Mellon                                    14400.00
24-03-2022 RR229487             Pawpaw                                           6000.00
24-03-2022 RR229487             Green Pepper                                     2000.00
24-03-2022 RR229487             Green Beans                                      1000.00
24-03-2022 RR229487             Bitter Leaves                                    1000.00
24-03-2022 RR229487             Water Leaves                                     2000.00
24-03-2022 RR229487             Ugu Leaves                                        999.99
24-03-2022 RR229487             Plantain                                         2000.00
24-03-2022 RR229487             OGBONO                                           3000.00
24-03-2022 RR229487             Cucumber                                         1999.99
24-03-2022 RR229487             Onion                                            8999.99
24-03-2022 RR229488             Stock Fish Head                                  8000.00
24-03-2022 RR229488             IRISH POTATOE                                   19000.00
24-03-2022 RR229488             BROCOLI IMPORTED                                 3600.00
24-03-2022 RR229488             CAULIC FLOWER                                    3600.00
24-03-2022 RR229489             BITTER KOLA                                      6000.00
24-03-2022 RR229489             Kola Nut                                         3000.00
25-03-2022 88791402             WEEKLY PURCHASES                  500000.00
25-03-2022 CASH RETIREMENT      CASH RETIREMENT                                564090.00
25-03-2022 CASH RETIREMENT      CASH RETIREMENT                                 61105.00
25-03-2022 RR229501             BISCUIT                                         17600.00
25-03-2022 RR229502             CHAPMANSTRAW                                     3600.00
25-03-2022 RR229503             Tablet Butter                                   10760.00
25-03-2022 RR229504             CHIVITA  LARGE                                  10200.00
25-03-2022 RR229504             CHIVITA JUICE M                                  5300.00
25-03-2022 RR229504             Chivita Small                                   24000.00
25-03-2022 RR229505             WHEAT MEAL                                       4600.00
25-03-2022 RR229506             Assorted sweet                                   8000.00
25-03-2022 RR229507             TAGGING NIDDLE                                   4500.00
25-03-2022 RR229508             Pineapple Fruit                                 13500.00
25-03-2022 RR229508             Water Mellon                                    10800.00
25-03-2022 RR229508             Pawpaw                                           6000.00
25-03-2022 RR229508             Orange Fruit                                     9000.00
25-03-2022 RR229508             Plantain                                         4000.00
25-03-2022 RR229508             HOT PEPPER                                       6499.99
25-03-2022 RR229509             Dried Fish                                      24000.00
25-03-2022 RR229509             BITTER KOLA                                      6000.00
25-03-2022 RR229509             Kola Nut                                         3000.00
26-03-2022 RR229518             Coca Cola                                        6000.00
26-03-2022 RR229519             Nestel water big                                16800.00
26-03-2022 RR229520             CAN Stout Small                                 13400.00
26-03-2022 RR229520             Stout (Large)                                    5500.00
26-03-2022 RR229520             ORIGIN BIG                                       4000.00
26-03-2022 RR229520             TROPHY BEER                                      8000.00
26-03-2022 RR229521             Nestel water small                              36000.00
26-03-2022 RR229521             SAFETY BOOT                                     22500.00
26-03-2022 RR229523             Grape Fruit                                      1000.00
26-03-2022 RR229523             Banana                                           2700.00
26-03-2022 RR229523             Apple                                            4000.00
26-03-2022 RR229523             PEARS                                            4000.00
26-03-2022 RR229523             Mango Fruit                                      5000.00
26-03-2022 RR229523             KIWI FRUIT                                       9000.00
26-03-2022 RR229524             Cabbage                                          7000.00
26-03-2022 RR229524             Lettuce                                          2000.00
26-03-2022 RR229524             Pineapple Fruit                                 13500.00
26-03-2022 RR229524             Water Mellon                                    10800.00
26-03-2022 RR229524             Pawpaw                                           6000.00
28-03-2022 88791412             WEEKLY PURCHASES                  500000.00
